Company Name,Industry,Symbol
ACC Ltd.,CEMENT & CEMENT PRODUCTS,ACC
AU Small Finance Bank Ltd.,FINANCIAL SERVICES,AUBANK
Aarti Industries Ltd.,CHEMICALS,AARTIIND
Abbott India Ltd.,PHARMA,ABBOTINDIA
Adani Enterprises Ltd.,SERVICES,ADANIENT
Adani Gas Ltd.,OIL & GAS,ADANIGAS
Adani Green Energy Ltd.,POWER,ADANIGREEN
Adani Ports and Special Economic Zone Ltd.,SERVICES,ADANIPORTS
Adani Transmission Ltd.,POWER,ADANITRANS
Aditya Birla Capital Ltd.,FINANCIAL SERVICES,ABCAPITAL
Aditya Birla Fashion and Retail Ltd.,CONSUMER GOODS,ABFRL
Ajanta Pharmaceuticals Ltd.,PHARMA,AJANTPHARM
Alembic Pharmaceuticals Ltd.,PHARMA,APLLTD
Alkem Laboratories Ltd.,PHARMA,ALKEM
Amara Raja Batteries Ltd.,AUTOMOBILE,AMARAJABAT
Ambuja Cements Ltd.,CEMENT & CEMENT PRODUCTS,AMBUJACEM
Apollo Hospitals Enterprise Ltd.,HEALTHCARE SERVICES,APOLLOHOSP
Apollo Tyres Ltd.,AUTOMOBILE,APOLLOTYRE
Ashok Leyland Ltd.,AUTOMOBILE,ASHOKLEY
Asian Paints Ltd.,CONSUMER GOODS,ASIANPAINT
Aurobindo Pharma Ltd.,PHARMA,AUROPHARMA
Avenue Supermarts Ltd.,CONSUMER GOODS,DMART
Axis Bank Ltd.,FINANCIAL SERVICES,AXISBANK
Bajaj Auto Ltd.,AUTOMOBILE,BAJAJ-AUTO
Bajaj Finance Ltd.,FINANCIAL SERVICES,BAJFINANCE
Bajaj Finserv Ltd.,FINANCIAL SERVICES,BAJAJFINSV
Bajaj Holdings & Investment Ltd.,FINANCIAL SERVICES,BAJAJHLDNG
Balkrishna Industries Ltd.,AUTOMOBILE,BALKRISIND
Bandhan Bank Ltd.,FINANCIAL SERVICES,BANDHANBNK
Bank of Baroda,FINANCIAL SERVICES,BANKBARODA
Bank of India,FINANCIAL SERVICES,BANKINDIA
Bata India Ltd.,CONSUMER GOODS,BATAINDIA
Berger Paints India Ltd.,CONSUMER GOODS,BERGEPAINT
Bharat Electronics Ltd.,INDUSTRIAL MANUFACTURING,BEL
Bharat Forge Ltd.,INDUSTRIAL MANUFACTURING,BHARATFORG
Bharat Heavy Electricals Ltd.,INDUSTRIAL MANUFACTURING,BHEL
Bharat Petroleum Corporation Ltd.,OIL & GAS,BPCL
Bharti Airtel Ltd.,TELECOM,BHARTIARTL
Biocon Ltd.,PHARMA,BIOCON
Bombay Burmah Trading Corporation Ltd.,CONSUMER GOODS,BBTC
Bosch Ltd.,AUTOMOBILE,BOSCHLTD
Britannia Industries Ltd.,CONSUMER GOODS,BRITANNIA
CESC Ltd.,POWER,CESC
Cadila Healthcare Ltd.,PHARMA,CADILAHC
Canara Bank,FINANCIAL SERVICES,CANBK
Castrol India Ltd.,OIL & GAS,CASTROLIND
Cholamandalam Investment and Finance Company Ltd.,FINANCIAL SERVICES,CHOLAFIN
Cipla Ltd.,PHARMA,CIPLA
City Union Bank Ltd.,FINANCIAL SERVICES,CUB
Coal India Ltd.,METALS,COALINDIA
Coforge Ltd.,IT,COFORGE
Colgate Palmolive (India) Ltd.,CONSUMER GOODS,COLPAL
Container Corporation of India Ltd.,SERVICES,CONCOR
Coromandel International Ltd.,FERTILISERS & PESTICIDES,COROMANDEL
Crompton Greaves Consumer Electricals Ltd.,CONSUMER GOODS,CROMPTON
Cummins India Ltd.,INDUSTRIAL MANUFACTURING,CUMMINSIND
DLF Ltd.,CONSTRUCTION,DLF
Dabur India Ltd.,CONSUMER GOODS,DABUR
Dalmia Bharat Ltd.,CEMENT & CEMENT PRODUCTS,DALBHARAT
Dhani Services Ltd.,FINANCIAL SERVICES,DHANI
Divi's Laboratories Ltd.,PHARMA,DIVISLAB
Dr. Lal Path Labs Ltd.,HEALTHCARE SERVICES,LALPATHLAB
Dr. Reddy's Laboratories Ltd.,PHARMA,DRREDDY
